	participant	target	time	age	gender	glasses			
164	12	2	2,333	8	f	FALSE	18,664		
165	12	6	2,365	8	f	FALSE	18,92		
166	12	5	2,366	8	f	FALSE	18,928		
167	12	4	2,349	8	f	FALSE	18,792		
168	12	7	2,349	8	f	FALSE	18,792		
169	12	2	2,316	8	f	FALSE	18,528		
170	12	5	2,366	8	f	FALSE	18,928		
171	12	1	3,232	8	f	FALSE	25,856		
172	12	8	2,365	8	f	FALSE	18,92		
173	12	0	2,333	8	f	FALSE	18,664		
174	12	5	2,365	8	f	FALSE	18,92		
175	12	2	2,333	8	f	FALSE	18,664		
176	12	4	2,366	8	f	FALSE	18,928		
177	12	8	2,349	8	f	FALSE	18,792		
178	12	0	2,333	8	f	FALSE	18,664		
179	12	5	2,366	8	f	FALSE	18,928		
180	12	3	2,333	8	f	FALSE	18,664		
181	12	5	2,348	8	f	FALSE	18,784		
182	12	2	2,366	8	f	FALSE	18,928		
183	12	6	2,332	8	f	FALSE	18,656		
184	12	7	2,35	8	f	FALSE	18,8		
185	12	8	2,366	8	f	FALSE	18,928		
186	12	3	2,334	8	f	FALSE	18,672		
187	12	2	4,147	8	f	FALSE	33,176		
188	12	7	2,348	8	f	FALSE	18,784		
189	12	1	4,148	8	f	FALSE	33,184		
190	12	3	2,35	8	f	FALSE	18,8		
191	12	8	2,365	8	f	FALSE	18,92		
192	12	2	2,332	8	f	FALSE	18,656		
193	12	1	2,35	8	f	FALSE	18,8		
194	12	6	4,148	8	f	FALSE	33,184		
195	12	4	3,565	8	f	FALSE	28,52		
196	12	8	2,315	8	f	FALSE	18,52		
197	12	2	2,383	8	f	FALSE	19,064		
198	12	8	2,334	8	f	FALSE	18,672		
199	12	0	2,349	8	f	FALSE	18,792		
200	12	7	3,248	8	f	FALSE	25,984		
201	12	2	2,333	8	f	FALSE	18,664		
202	12	1	3,566	8	f	FALSE	28,528		
203	13	7	3,264	27	m	TRUE	88,128		
204	13	2	2,347	27	m	TRUE	63,369		
205	13	9	2,349	27	m	TRUE	63,423		
206	13	8	2,334	27	m	TRUE	63,018		
207	13	7	2,365	27	m	TRUE	63,855		
